Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
12732;18349;South African Medical Journal;journal;02569574, 20785135;0,446;Q3;67;164;603;2948;585;466;0,78;17,98;-;0;90;South Africa;Africa;South African Medical Association;1945-2024;Medicine (miscellaneous) (Q3);Medicine
12733;19700174665;Turk Patoloji Dergisi;journal;10185615, 13095730;0,446;Q3;19;28;109;683;185;101;2,13;24,39;-;0;17;Turkey;Middle East;Federation of Turkish Pathology Societies;2010-2025;Pathology and Forensic Medicine (Q3);Medicine
12734;12444;Aeronautical Journal;journal;20596464, 00019240;0,445;Q2;54;179;305;6518;675;300;2,23;36,41;-;0;22;United Kingdom;Western Europe;Cambridge University Press;1969-1992, 1994-2025;Aerospace Engineering (Q2);Engineering
12735;21567;Annales de la Societe Entomologique de France;journal;00379271, 21686351;0,445;Q2;40;27;87;1282;93;80;0,75;47,48;-;0;7;United Kingdom;Western Europe;Taylor and Francis Ltd.;1988, 1996-2025;"Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)";Agricultural and Biological Sciences
12736;21100821602;Business and Professional Communication Quarterly;journal;23294922, 23294906;0,445;Q1;44;81;85;4326;224;79;2,95;53,41;-;0;16;United States;Northern America;SAGE Publications Inc.;2015-2025;"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance"
12737;21101048389;CCF Transactions on Pervasive Computing and Interaction;journal;25245228, 2524521X;0,445;Q2;18;32;86;1568;250;83;2,75;49,00;-;0;5;Germany;Western Europe;Springer Verlag;2019-2025;"Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Human-Computer Interaction (Q3)";Computer Science
12738;21100451190;International Journal of Microsimulation;journal;17475864;0,445;Q2;9;18;59;994;40;51;0,67;55,22;-;0;13;Luxembourg;Western Europe;International Microsimulation Association;2015-2025;"Demography (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Health (social science) (Q2); Modeling and Simulation (Q2); Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Epidemiology (Q3); Public Health, Environmental and Occupational Health (Q3)";"Economics, Econometrics and Finance; Mathematics; Medicine; Social Sciences"
12739;6500153243;International Review of Environmental and Resource Economics;journal;19321465, 19321473;0,445;Q3;34;7;30;1207;34;29;0,89;172,43;-;1;6;United States;Northern America;Now Publishers Inc;2007-2024;"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3); Management, Monitoring, Policy and Law (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
12740;21100199538;International Symposium on Empirical Software Engineering and Measurement;conference and proceedings;19493770, 19493789;0,445;-;48;68;112;2931;278;106;2,10;43,10;-;0;3;United States;Northern America;IEEE Computer Society;2011-2024;"Computer Science Applications; Software";Computer Science
12741;29945;Journal of Carcinogenesis;journal;09746773, 14773163;0,445;Q3;45;15;24;491;78;24;3,89;32,73;-;0;9;India;Asiatic Region;Wolters Kluwer Medknow Publications;2002-2024;"Health, Toxicology and Mutagenesis (Q3); Oncology (Q3); Cancer Research (Q4)";"Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine"
